Timestamp,Price,stock_volume,amount_volume
1991/8/16,161.6,984,581000
1991/8/19,163.21,985,614000
1991/8/20,164.84,573,388000
1991/8/21,166.49,3411,2106000
1991/8/22,168.16,1296,845000
1991/8/23,169.81,605,502000
1991/8/26,171.51,643,518000
1991/8/27,173.19,796,520000
1991/8/28,174.92,804,511000
1991/8/29,176.66,2608,1629000
1991/8/30,178.43,6759,4219000
1991/9/2,180.22,1408,886000
1991/9/3,181.97,1475,940000
1991/9/4,183.69,650,470000
1991/9/5,185.51,1514,1095000
1991/9/6,187.36,2765,1761000
1991/9/9,189.24,3552,2349000
1991/9/10,188.33,33434,21507000
1991/9/11,187.22,21392,14677000
1991/9/12,186.22,19699,16265000
1991/9/13,187.79,37434,24035000
1991/9/16,189.66,9933,6343000
1991/9/17,188.65,28829,18623000
1991/9/18,187.63,15822,11015000
1991/9/19,186.88,23439,14607000
1991/9/20,185.92,12075,7417000
1991/9/23,185,4034,2806000
1991/9/24,184.08,1426,1002000
1991/9/25,183.19,1389,934000
1991/9/26,182.33,6541,4620000
1991/9/27,181.82,33728,20416000
1991/9/30,180.92,25594,22336000
1991/10/3,182.48,18741,12329000
1991/10/4,184.29,7360,5039000
1991/10/7,186,11369,7291000
1991/10/8,187.49,23745,15241000
1991/10/9,189.12,20989,13440000
1991/10/10,191.01,6638,4333000
1991/10/11,192.85,10981,7251000
1991/10/14,194.67,21493,13948000
1991/10/15,196.61,11002,7265000
1991/10/16,198.57,9562,6273000
1991/10/17,200.51,6077,4136000
1991/10/18,202.51,2968,2384000
1991/10/21,204.53,3537,2514000
1991/10/22,206.53,2128,1521000
1991/10/23,208.25,2623,1980000
1991/10/24,210.07,19357,13174000
1991/10/25,211.86,32650,22263000
1991/10/28,213.98,3217,2357000
1991/10/29,215.78,2697,2069000
1991/10/30,216.43,2380,1814000
1991/10/31,218.6,3929,2914000
1991/11/1,220.72,5906,4313000
1991/11/4,222.77,4474,3352000
1991/11/5,224.65,2805,2225000
1991/11/6,226.88,2848,2188000
1991/11/7,228.93,4833,4085000
1991/11/8,231.22,14406,11039000
1991/11/11,233.55,2474,2130000
1991/11/12,235.8,895,914000
1991/11/13,236.67,799,879000
1991/11/14,237.45,862,940000
1991/11/15,238.25,2058,1914000
1991/11/18,240.62,1885,1534000
1991/11/19,242.24,2310,2040000
1991/11/20,244.5,2325,1929000
1991/11/21,246.31,2155,2030000
1991/11/22,248.53,2133,1954000
1991/11/25,250.85,2331,1963000
1991/11/26,252.97,2454,2326000
1991/11/27,255.45,2120,1756000
1991/11/28,257.35,2502,2251000
1991/11/29,259.6,33695,28453000
1991/12/2,262.19,19128,16310000
1991/12/3,264.81,1101,1207000
1991/12/4,265.77,742,903000
1991/12/5,266.66,2050,2100000
1991/12/6,269.35,1613,1798000
1991/12/9,270.27,1631,1648000
1991/12/10,272.91,516,665000
1991/12/11,273.71,669,859000
1991/12/12,274.41,1577,1644000
1991/12/13,277,746,962000
1991/12/16,277.85,580,817000
1991/12/17,278.68,493,754000
1991/12/18,279.51,760,893000
1991/12/19,280.17,1094,1242000
1991/12/20,282.83,4393,6268000
1991/12/23,285.65,1046,1182000
1991/12/24,286.22,486,593000
1991/12/25,287.15,573,873000
1991/12/26,288.03,1168,1422000
1991/12/27,290.85,1551,1789000
1991/12/30,291.71,1165,1881000
1991/12/31,292.75,584,858000
1992/1/2,293.75,928,1339000
1992/1/3,296.52,1436,1842000
1992/1/6,297.68,3400,4236000
1992/1/7,298.77,892,1064000
1992/1/8,299.66,659,930000
1992/1/9,300.62,943,1244000
1992/1/10,301.83,1605,2629000
1992/1/13,303.06,725,1097000
1992/1/14,305.74,632,858000
1992/1/15,306.63,259,314000
1992/1/16,306.85,378,488000
1992/1/17,307.38,250,321000
1992/1/20,307.39,445,502000
1992/1/21,307.87,534,650000
1992/1/22,307.95,312,439000
1992/1/23,308.53,413,583000
1992/1/24,309.05,722,1004000
1992/1/27,311.61,562,750000
1992/1/28,311.84,664,822000
1992/1/29,312.42,401,450000
1992/1/30,312.73,391,543000
1992/1/31,313.24,354,586000
1992/2/3,314.18,305,583000
1992/2/7,314.72,327,527000
1992/2/10,315.56,354,586000
1992/2/11,316.43,296,460000
1992/2/12,316.44,270,397000
1992/2/13,317.04,1020,None
1992/2/14,319.68,457,770000
1992/2/17,319.77,6369,13782000
1992/2/18,337.11,7407,12655000
1992/2/19,342.41,9401,16501000
1992/2/20,347.99,10341,20004000
1992/2/21,359.59,11582,19254000
1992/2/24,360.5,30157,18038000
1992/2/25,360.37,4862,8037000
1992/2/26,360.1,5753,8082000
1992/2/27,362.45,9524,17931000
1992/2/28,364.66,9862,26401000
1992/3/2,365.39,3405,5644000
1992/3/3,367,2989,3366000
1992/3/4,368.32,5614,None
1992/3/5,369.76,8360,14928000
1992/3/6,371.76,5237,9958000
1992/3/9,373.53,20968,22273000
1992/3/10,375.23,5011,7452000
1992/3/11,376.14,4001,11238000
1992/3/12,376.92,10326,31594000
1992/3/13,376.38,2527,4487000
1992/3/16,377.05,2646,2265000
1992/3/17,377.49,890,1340000
1992/3/18,377.66,4028,2252000
1992/3/19,377.31,13628,35111000
1992/3/20,377.99,3160,7844000
1992/3/23,378.89,10290,24375000
1992/3/24,378.69,4378,7016000
1992/3/25,378.12,11820,21445000
1992/3/26,379.13,10225,24177000
1992/3/27,380.77,1892,5469000
1992/3/30,381.44,12655,40359000
1992/3/31,381.24,17391,53853000
1992/4/1,381.01,4065,7767000
1992/4/2,381.12,1673,3193000
1992/4/3,381.33,1700,3377000
1992/4/6,381.47,5298,14543000
1992/4/7,381.93,10613,30266000
1992/4/8,382.43,1866,5277000
1992/4/9,381.65,3168,7148000
1992/4/10,382.03,7066,13499000
1992/4/13,391.11,20593,52440000
1992/4/14,400.61,9415,25184000
1992/4/15,406.72,10566,25157000
1992/4/16,410.55,39211,57466000
1992/4/17,414.42,15678,45102000
1992/4/20,413.85,10170,23206000
1992/4/21,410.06,51257,72181000
1992/4/22,399.88,50596,73539000
1992/4/23,407.25,54718,71062000
1992/4/24,414.4,34706,47646000
1992/4/27,424.58,37257,53584000
1992/4/28,436.09,42392,53950000
1992/4/29,444.16,52899,66766000
1992/4/30,445.38,45704,52587000
1992/5/4,453.62,64362,101358000
1992/5/5,449.21,49359,78293000
1992/5/6,449.96,33687,54371000
1992/5/7,454.65,34414,51743000
1992/5/8,468.11,48634,84728990
1992/5/11,491.5,30950,None
1992/5/12,506.53,33278,65369000
1992/5/13,514.04,33897,64664000
1992/5/14,523.36,33010,60063000
1992/5/15,544.35,63283,75109000
1992/5/18,571.82,29992,61340000
1992/5/19,598.11,47790,58722000
1992/5/20,616.99,65646,119286000
1992/5/21,1266.49,89657,181276990
1992/5/22,1339.99,93725,204172990
1992/5/25,1421.57,88969,222428980
1992/5/26,1301.35,68128,149448000
1992/5/27,1193.17,64528,138823990
1992/5/28,1160.17,48389,117388000
1992/5/29,1234.71,51615,135996990
1992/6/1,1183.24,39394,105366000
1992/6/2,1141.02,34033,84508990
1992/6/3,1059.07,41002,91843990
1992/6/4,1104.46,43184,94263000
1992/6/5,1105.76,44007,100847000
1992/6/8,1093.46,28747,66441000
1992/6/9,1126.62,35100,81673000
1992/6/10,1187.02,58732,154616990
1992/6/11,1178.3,34897,107985000
1992/6/12,1171.71,47202,117698000
1992/6/15,1171.85,37747,93130000
1992/6/16,1166.7,35158,None
1992/6/17,1169.57,34755,90657000
1992/6/18,1168.43,29101,65289000
1992/6/19,1171.94,25146,60859000
1992/6/22,1169.9,27924,71392000
1992/6/23,1158.17,19490,56443000
1992/6/24,1151.06,16975,44772000
1992/6/25,1160.23,19846,58837000
1992/6/26,1164.67,29061,92243000
1992/6/29,1169.51,53610,114991000
1992/6/30,1191.19,58976,160259000
1992/7/1,1194.18,58330,122926000
1992/7/2,1187.48,46512,101151000
1992/7/3,1189.16,75245,190397990
1992/7/6,1201.01,63782,195780000
1992/7/7,1206.46,68826,204760000
1992/7/8,1185.5,68043,138880000
1992/7/9,1178.53,53216,130815000
1992/7/10,1188.62,58149,134101000
1992/7/13,1136.33,51595,123468000
1992/7/14,1114.05,44462,95340000
1992/7/15,1107.69,44812,121583990
1992/7/16,1124.64,50464,151031990
1992/7/17,1125.56,62671,115821000
1992/7/20,1098.82,31699,67313000
1992/7/21,1082.39,35912,66221000
1992/7/22,1035.66,47347,105623000
1992/7/23,1014.57,77014,137012990
1992/7/24,1142.02,57155,100041000
1992/7/27,1149.33,59560,122256990
1992/7/28,1105.95,78387,105616000
1992/7/29,1087.12,68987,85225000
1992/7/30,1057.4,99108,88690000
1992/7/31,1052.07,87149,77149000
1992/8/3,1031.55,60103,73754000
1992/8/4,1035.63,52472,63035000
1992/8/5,1012.55,61146,76139000
1992/8/6,1002.17,72555,108106000
1992/8/7,1005.23,78256,101706000
1992/8/10,964.09,81781,111257000
1992/8/11,863.41,106999,153828000
1992/8/12,781.21,144831,188801000
1992/8/13,850.94,115594,171260000
1992/8/14,858.38,104407,159447000
1992/8/17,939.46,113357,190291000
1992/8/18,933.44,148494,259400980
1992/8/19,939.51,75952,131836000
1992/8/20,932.32,160565,177487990
1992/8/21,916.25,170567,189594000
1992/8/24,884.1,99347,155058000
1992/8/25,849.57,84662,135091990
1992/8/26,877.25,126153,153391990
1992/8/27,863.77,54258,89723000
1992/8/28,848.2,74884,95683990
1992/8/31,823.27,54296,77675000
1992/9/1,824.96,78694,87528990
1992/9/2,787.67,93924,140241990
1992/9/3,764.11,163730,206650000
1992/9/4,753.58,98772,130811000
1992/9/7,702.83,87105,135455000
1992/9/8,640.12,100634,130823990
1992/9/9,635.74,111908,131748990
1992/9/10,692.78,113109,142571990
1992/9/11,776.29,117294,165860000
1992/9/14,734.98,137270,195830000
1992/9/15,738.16,119373,157671010
1992/9/16,769.04,143926,203054000
1992/9/17,761.72,94181,144744990
1992/9/18,754.4,61707,81858000
1992/9/21,733.44,81728,116545000
1992/9/22,722.7,69552,91083000
1992/9/23,712.37,65590,82873000
1992/9/24,730.57,77787,92838990
1992/9/25,729.79,76536,76255000
1992/9/28,724.7,42557,40798000
1992/9/29,710.63,64830,82381000
1992/9/30,702.32,89778,96512000
1992/10/5,679.62,94116,109752000
1992/10/6,674.24,71613,97525000
1992/10/7,665.26,53830,60947000
1992/10/8,643.69,84532,96306000
1992/10/9,660.29,93947,114917000
1992/10/12,690.57,110752,149660000
1992/10/13,673.99,112238,158356990
1992/10/14,663.75,105525,142120990
1992/10/15,663.53,75758,106075000
1992/10/16,664.75,68851,91893000
1992/10/19,632.4,81039,100268000
1992/10/20,616.29,94609,103067000
1992/10/21,585.7,91927,107881000
1992/10/22,539.8,138728,149733990
1992/10/23,559.73,114981,114178000
1992/10/26,506.94,125657,125483990
1992/10/27,450.28,141388,128776000
1992/10/28,463.21,116311,103788000
1992/10/29,484.25,124059,94125000
1992/10/30,507.25,146510,129963990
1992/11/2,477.61,126226,99006000
1992/11/3,479.81,125543,90717000
1992/11/4,469.9,128590,85452000
1992/11/5,462.63,95464,72446000
1992/11/6,457.05,73791,52648000
1992/11/9,428.61,95622,71923000
1992/11/10,400.53,124661,89992000
1992/11/11,410.16,104914,70781000
1992/11/12,415.79,121120,87130000
1992/11/13,414.09,116763,79106000
1992/11/16,399.32,107074,67165000
1992/11/17,393.52,100762,67791000
1992/11/18,407.61,93285,59699000
1992/11/19,398.95,115030,76385000
1992/11/20,401.44,86477,55774000
1992/11/23,410.39,133314,91610000
1992/11/24,440.04,175095,125233990
1992/11/25,571.63,302928,264883010
1992/11/26,562.01,387633,451183980
1992/11/27,637.67,266915,303435000
1992/11/30,724.6,370655,466138980
1992/12/1,716.74,215404,259136000
1992/12/2,722.2,181421,225079000
1992/12/3,808.2,301014,428632970
1992/12/4,807.02,305753,461615000
1992/12/7,793.25,250742,339071020
1992/12/8,753.94,433660,596425000
1992/12/9,676.45,276204,342673980
1992/12/10,625.23,227439,258176000
1992/12/11,722.28,307490,372689960
1992/12/14,705.07,188141,231871990
1992/12/15,682.24,141703,166197990
1992/12/16,685.82,121331,135191010
1992/12/17,707.82,116802,150199000
1992/12/18,698.13,102336,142492990
1992/12/21,731.68,277037,411628980
1992/12/22,725.78,183322,233272990
1992/12/23,732.05,113159,138606000
1992/12/24,758.59,166752,217227990
1992/12/25,764.28,261687,366032970
1992/12/28,757.31,152167,178234000
1992/12/29,768.91,149864,187124980
1992/12/30,767.52,152735,194586000
1992/12/31,780.39,135511,180355000
1993/1/4,814.04,183850,263004980
1993/1/5,858.72,340098,None
1993/1/6,847.44,402871,566275940
1993/1/7,868.97,268447,363540000
1993/1/8,889.47,373432,623601950
1993/1/11,977.42,638851,950385000
1993/1/12,987.26,624399,935386950
1993/1/13,1024.05,395307,588489020
1993/1/14,1086.43,638404,992732030
1993/1/15,1063.76,466303,728896020
1993/1/18,1055.32,338369,534250980
1993/1/19,991.83,332610,611132030
1993/1/20,1043.31,258376,411583980
1993/1/21,1074.26,301864,491452970
1993/1/22,1100.31,325643,527931990
1993/1/27,1162.44,472632,810902970
1993/1/28,1150.37,460101,815768980
1993/1/29,1198.48,520097,815953980
1993/2/1,1278.5,683441,1296071020
1993/2/2,1310.58,614413,1194551020
1993/2/3,1300.56,560566,1019045000
1993/2/4,1371.58,556916,1120555000
1993/2/5,1332.96,651564,1397212970
1993/2/8,1393.17,622541,1165095000
1993/2/9,1474.92,764792,1652640940
1993/2/10,1454.46,788796,1793074840
1993/2/11,1397.38,731658,1400213910
1993/2/12,1458.76,853779,1250749060
1993/2/15,1536.82,716437,1598791000
1993/2/16,1513.48,493707,1218623980
1993/2/17,1504,374017,956165000
1993/2/18,1508.22,442316,997228980
1993/2/19,1499.74,504569,1482041880
1993/2/22,1456.29,477999,941932970
1993/2/23,1367.36,471463,992925000
1993/2/24,1264.96,720960,1506185000
1993/2/25,1410.36,595583,1400825940
1993/2/26,1339.88,650262,1613234060
1993/3/1,1199.73,425901,891106950
1993/3/2,1245.11,399956,858823980
1993/3/3,1231.77,193539,378383980
1993/3/4,1159.13,277967,529911990
1993/3/5,1109.54,484992,919756950
1993/3/8,1209.65,759314,1862035940
1993/3/9,1137.79,391658,861923980
1993/3/10,1188.97,301790,691214920
1993/3/11,1261.8,448178,1060953980
1993/3/12,1236.37,402110,970838980
1993/3/15,1171.73,256755,514230000
1993/3/16,1222.55,243174,435520980
1993/3/17,1202.85,165707,309235000
1993/3/18,1184.48,176715,309780000
1993/3/19,1174.99,263663,431657970
1993/3/22,1036.92,377138,645849960
1993/3/23,971.25,350248,548908010
1993/3/24,956.97,220169,315252990
1993/3/25,945.42,219465,309520000
1993/3/26,1039.76,512568,759832970
1993/3/29,970.45,244217,351143980
1993/3/30,958.05,271616,339809960
1993/3/31,925.91,235056,313306990
1993/4/1,947.23,138294,198180000
1993/4/2,944.01,184978,266861990
1993/4/5,947.87,180060,200021000
1993/4/6,1059.62,538943,758332030
1993/4/7,1099.62,1019684,1806202970
1993/4/8,1238.87,1044269,1879531000
1993/4/9,1243.02,1069085,2057902970
1993/4/12,1203.54,638958,1264504920
1993/4/13,1297.36,668121,1363105000
1993/4/14,1272.39,880809,2337361880
1993/4/15,1278.84,597305,1191251950
1993/4/16,1214.75,651470,1327287970
1993/4/19,1223.22,478577,879193980
1993/4/20,1235.52,450074,941171950
1993/4/21,1222.56,280275,506461990
1993/4/22,1267.35,344892,718871950
1993/4/23,1260.25,556849,1199953980
1993/4/26,1345.61,774385,1926984840
1993/4/27,1363.44,911528,2066885000
1993/4/28,1372.5,688094,1349145000
1993/4/29,1349.68,502554,1042872970
1993/4/30,1358.78,399490,816128980
1993/5/3,1352.24,595189,1211642970
1993/5/4,1241.16,712924,1678568910
1993/5/5,1246.82,460096,956152970
1993/5/6,1162.92,465678,960345000
1993/5/7,1199.81,432208,857567970
1993/5/10,1128.29,397381,776772970
1993/5/11,1136.74,241421,435012970
1993/5/12,1140.19,248629,490369960
1993/5/13,1177.28,193316,362446990
1993/5/14,1167.47,257025,499320980
1993/5/17,1140.04,194832,333078010
1993/5/18,1130.26,194902,331718980
1993/5/19,1147.22,117362,192081000
1993/5/20,1165.4,243879,418851990
1993/5/21,1143.97,153564,246661990
1993/5/24,1026.13,386972,605215980
1993/5/25,997.95,301064,475955980
1993/5/26,995.45,202565,314099000
1993/5/27,963.61,253022,333873980
1993/5/28,972.77,218419,315795000
1993/5/31,935.48,341908,329465000
1993/6/1,928.58,275858,318071990
1993/6/2,1081.2,998846,1632418910
1993/6/3,1018.29,1103748,2175692970
1993/6/4,1004.3,501040,851142030
1993/6/7,1064.98,449563,821818980
1993/6/8,1074.58,1012363,1905350940
1993/6/9,1065.19,454705,682380000
1993/6/10,1044.44,323044,582025000
1993/6/11,1047,279582,482831990
1993/6/14,1000.43,421872,819934920
1993/6/15,1001.61,233735,382174020
1993/6/16,1004.24,150297,253328980
1993/6/17,998,134334,217201000
1993/6/18,1005.98,148634,246543980
1993/6/21,977.61,175266,270902010
1993/6/22,981.13,163053,162668980
1993/6/23,986.02,136034,132856990
1993/6/24,980.17,137405,152818000
1993/6/25,1006.64,224396,312422010
1993/6/28,1002.42,328364,496783010
1993/6/29,1028.44,832428,1468987970
1993/6/30,1007.05,580651,1106797030
1993/7/1,997.53,399043,636201020
1993/7/2,986.98,264050,372538980
1993/7/5,952.31,286417,436288980
1993/7/6,897.64,326224,476734020
1993/7/7,903.79,233996,326028980
1993/7/8,896.16,120236,163976990
1993/7/9,868.57,174936,232010000
1993/7/12,845.52,433849,533241950
1993/7/13,870.05,284326,376500980
1993/7/14,836.39,308157,469980980
1993/7/15,838.7,179234,227157990
1993/7/16,846.87,190163,269163010
1993/7/19,836.98,336058,286146990
1993/7/20,808.21,194281,242551000
1993/7/21,811.74,162937,145735000
1993/7/22,815.53,148959,119825000
1993/7/23,813.54,202724,173168980
1993/7/26,787.81,245459,234455000
1993/7/27,791.62,148110,170851000
1993/7/28,798.33,439473,498867970
1993/7/29,806.67,259667,250168980
1993/7/30,881.07,1222136,1433112970
1993/8/2,843.27,1327101,1518909060
1993/8/3,832.72,307480,358106990
1993/8/4,850.54,343278,313256000
1993/8/5,849.3,538329,602014960
1993/8/6,855.52,524069,617720000
1993/8/9,885.27,1088235,1380780000
1993/8/10,862.08,1438811,1680655940
1993/8/11,883.02,435531,457620000
1993/8/12,917.04,1015689,1079757890
1993/8/13,947.26,1332467,1521375940
1993/8/16,1023.87,1432882,1921105940
1993/8/17,974.11,1542719,2112172970
1993/8/18,947.93,642828,850556020
1993/8/19,968.51,448297,625742970
1993/8/20,946.54,451256,571390980
1993/8/23,893.23,497704,634803950
1993/8/24,894.44,342213,386943980
1993/8/25,911.4,285673,350712970
1993/8/26,903.91,170181,193441000
1993/8/27,894.59,411332,523031990
1993/8/30,899.27,231770,265575000
1993/8/31,895.68,169092,187428980
1993/9/1,893.97,245553,199892990
1993/9/2,901.39,171555,154355000
1993/9/3,922.69,323168,404958980
1993/9/6,947.53,497809,655361020
1993/9/7,909.04,345944,454291990
1993/9/8,909.13,263978,313452990
1993/9/9,901.66,237052,324867990
1993/9/10,903.56,171504,185086000
1993/9/13,879.24,295061,340126020
1993/9/14,876.62,138936,159393990
1993/9/15,880.78,100191,112045000
1993/9/16,875.08,114538,116415000
1993/9/17,881.41,142359,169476990
1993/9/20,875,177122,178963010
1993/9/21,890.23,266000,297139000
1993/9/22,881.24,179432,169931990
1993/9/23,884.02,172349,167679000
1993/9/24,875.81,467085,568177970
1993/9/27,880.98,312158,318673980
1993/9/28,898.15,559591,553948010
1993/9/29,886.12,488694,469278980
1993/9/30,890.27,524829,610470000
1993/10/4,892.55,563428,639218980
1993/10/5,885.86,357402,385454020
1993/10/6,885.04,436478,608053980
1993/10/7,887.62,1618615,3408866880
1993/10/8,874.76,1195029,2241702810
1993/10/11,868.38,635130,1044637970
1993/10/12,871.42,554009,792358980
1993/10/13,859.7,607545,799372970
1993/10/14,855.04,417466,575073980
1993/10/15,856.92,268426,366011990
1993/10/18,835.25,554465,549878010
1993/10/19,839.6,576583,581100980
1993/10/20,843.85,691591,777291020
1993/10/21,832.25,742611,1083248980
1993/10/22,818.81,1056350,2003888910
1993/10/25,784.97,813707,1191263980
1993/10/26,783.23,995521,1855890000
1993/10/27,778.38,901031,1737292970
1993/10/28,824.66,1160734,1610291880
1993/10/29,814.82,999240,1390732030
1993/11/1,816.71,646971,1022378980
1993/11/2,812.67,549003,841057970
1993/11/3,805.71,571874,733212970
1993/11/4,804.26,504402,700646950
1993/11/5,814.39,518531,619546990
1993/11/8,836.99,818185,1065227970
1993/11/9,846.15,679881,823213980
1993/11/10,833.17,1169090,2198479840
1993/11/11,848.27,1114973,2055608910
1993/11/12,865.97,983109,1456373910
1993/11/15,890.46,1354358,1650500000
1993/11/16,880.33,1278614,1532187030
1993/11/17,887.65,1062975,1191453910
1993/11/18,903.07,877493,1064897970
1993/11/19,924.67,1620731,1951330000
1993/11/22,949.77,1884341,2476502970
1993/11/23,957.95,2135691,2876176880
1993/11/24,953.23,1893822,2704579060
1993/11/25,986.69,2354818,3356403750
1993/11/26,965.39,1918993,2803762810
1993/11/29,972.96,1386637,1921928910
1993/11/30,984.93,1603177,2272509840
1993/12/1,974.8,1217881,1815472030
1993/12/2,972.8,778228,1073545000
1993/12/3,980.67,806229,1168037970
1993/12/6,995.72,2062968,2864756880
1993/12/7,1022.34,2402835,3843186880
1993/12/8,1009.67,2223643,3406758750
1993/12/9,984.9,1246421,2004909840
1993/12/10,978.57,1284583,1855792970
1993/12/13,950.77,986699,1281953980
1993/12/14,925.2,920584,1159597030
1993/12/15,940.61,988407,1243627970
1993/12/16,908.08,979969,1389314060
1993/12/17,901.7,902744,1145469060
1993/12/20,783.79,1319581,1551908910
1993/12/21,840.34,1239165,1404919060
1993/12/22,821.19,2060196,2868365000
1993/12/23,833.77,1031247,914545000
1993/12/24,834.39,918481,969681020
1993/12/27,839.9,1004940,1168685940
1993/12/28,839.57,1438026,1933942970
1993/12/29,821.16,937012,1155118980
